Order ID,Customer ID,Product Category,Purchase Amount (USD),Order Date,Shipping Time (Days),Customer Age,Customer Gender,Customer Location,Customer Lifetime Value (USD),Churn Risk
10027,294,Home & Kitchen,411.2,1/27/2024,11,20,Other,Pattaya,3231.63,High
10028,386,Electronics,133.73,1/28/2024,11,62,Female,Bangkok,1770.71,Low
10029,192,Sports,10.5,1/29/2024,2,44,Other,Pattaya,4988.59,Low
10030,444,Toys,87.88,1/30/2024,8,52,Female,Chiang Mai,1391.4,Low
10031,277,Electronics,239.58,1/31/2024,14,48,Other,Phuket,1467.74,Low
10032,161,Toys,472.71,2/1/2024,6,32,Male,Hat Yai,4660.29,Low
10033,460,Electronics,60.07,2/2/2024,14,33,Female,Hat Yai,220.76,Low
10034,314,Home & Kitchen,428.56,2/3/2024,4,30,Female,Chiang Mai,3513.78,Medium
10035,22,Sports,268.24,2/4/2024,5,52,Male,Bangkok,3654.1,Low
10036,253,Sports,414.7,2/5/2024,8,28,Other,Phuket,4198.26,Low
10037,236,Beauty,156.2,2/6/2024,14,38,Male,Pattaya,4874.75,Low
10038,345,Toys,421.57,2/7/2024,3,28,Male,Chiang Mai,4880.45,Low
10039,49,Electronics,388.68,2/8/2024,3,47,Other,Phuket,419.86,Low
10040,475,Electronics,122.73,2/9/2024,14,52,Male,Phuket,4127.01,Low
10041,59,Clothing,74.35,2/10/2024,14,39,Female,Pattaya,3266.92,Medium
10042,170,Beauty,435.35,2/11/2024,11,55,Female,Phuket,3271.98,Low
10043,476,Clothing,481.99,2/12/2024,4,48,Female,Bangkok,728.91,Medium
10044,188,Clothing,25.34,2/13/2024,1,31,Male,Bangkok,3285.92,High
10045,464,Clothing,368.32,2/14/2024,9,41,Female,Bangkok,4914.16,Low
10046,271,Toys,455.67,2/15/2024,8,49,Female,Phuket,4567.91,Low
10047,190,Toys,430.11,2/16/2024,8,53,Female,Bangkok,2251.74,Low
10048,446,Home & Kitchen,482.62,2/17/2024,14,49,Female,Pattaya,295.75,Medium
10049,175,Home & Kitchen,382.45,2/18/2024,10,32,Female,Phuket,1875.24,High
10050,446,Clothing,226.73,2/19/2024,6,60,Female,Hat Yai,4149.31,Medium
10051,51,Beauty,162.86,2/20/2024,7,52,Male,Phuket,3537.35,Low
10052,364,Electronics,167.16,2/21/2024,6,20,Female,Pattaya,2350.78,Medium
10053,55,Toys,364.97,2/22/2024,9,33,Female,Hat Yai,370,Low
10054,244,Beauty,375.46,2/23/2024,3,22,Other,Phuket,2191.78,Low
10055,320,Sports,108.18,2/24/2024,14,38,Male,Bangkok,2398.22,Low
10056,131,Toys,435.38,2/25/2024,3,27,Male,Chiang Mai,4649.92,Low
10057,485,Toys,360.31,2/26/2024,3,36,Male,Chiang Mai,3241.32,Medium
10058,307,Home & Kitchen,285.75,2/27/2024,10,42,Male,Bangkok,1627.1,Low
10059,135,Electronics,241.05,2/28/2024,3,21,Female,Chiang Mai,2674.06,Low
10060,21,Electronics,276.18,2/29/2024,9,46,Female,Chiang Mai,423.67,Low
10061,329,Sports,88.03,3/1/2024,12,36,Other,Bangkok,4865.58,Medium
10062,167,Sports,109.81,3/2/2024,4,60,Other,Bangkok,1864.29,Medium
10063,274,Toys,54.67,3/3/2024,13,19,Male,Phuket,2441.55,Low
10064,388,Clothing,85.29,3/4/2024,7,27,Other,Phuket,1840.89,Low
10065,89,Home & Kitchen,232.31,3/5/2024,14,60,Other,Bangkok,3444.31,Low
10066,316,Home & Kitchen,269.87,3/6/2024,9,42,Male,Pattaya,3344.94,High
10067,14,Toys,18.75,3/7/2024,11,37,Male,Chiang Mai,3605.08,Low
10068,242,Beauty,400.43,3/8/2024,12,36,Other,Phuket,1413.9,Low
10069,265,Clothing,154.14,3/9/2024,7,40,Female,Chiang Mai,1646.78,Low
10070,346,Toys,456.8,3/10/2024,9,41,Other,Hat Yai,713.73,Low
10071,53,Clothing,484.08,3/11/2024,12,28,Other,Bangkok,3312,Medium
10072,386,Clothing,100.87,3/12/2024,3,63,Female,Pattaya,295.01,Low
10073,340,Clothing,236.43,3/13/2024,4,51,Female,Hat Yai,3028.64,Low
10074,92,Toys,10.6,3/14/2024,14,45,Male,Hat Yai,4361.51,Low
10075,367,Home & Kitchen,303.18,3/15/2024,8,22,Male,Hat Yai,4465.08,Low
10076,444,Home & Kitchen,307.58,3/16/2024,6,22,Other,Bangkok,2300.29,High
10077,455,Clothing,131.29,3/17/2024,5,38,Female,Phuket,2350.59,Low
10078,428,Beauty,283.62,3/18/2024,13,29,Male,Bangkok,477.15,Medium
10079,264,Electronics,120.51,3/19/2024,4,21,Other,Phuket,3386.75,Medium
10080,431,Toys,88.8,3/20/2024,8,59,Female,Hat Yai,4124.17,Low
10081,35,Electronics,329.24,3/21/2024,1,37,Other,Hat Yai,1298.81,Low
10082,206,Beauty,169.7,3/22/2024,14,55,Male,Pattaya,2164.37,Low
10083,81,Toys,299.23,3/23/2024,9,42,Male,Phuket,4210.31,Medium
10084,420,Clothing,222.29,3/24/2024,1,31,Female,Hat Yai,4397.89,Low
10085,50,Home & Kitchen,492.33,3/25/2024,8,28,Other,Chiang Mai,1291.58,Low
10086,360,Electronics,83.29,3/26/2024,4,49,Female,Pattaya,2797.8,Low
10087,388,Sports,237.65,3/27/2024,9,28,Male,Bangkok,1043.22,Medium
10088,2,Sports,343.42,3/28/2024,14,35,Male,Pattaya,599.21,Low
10089,390,Beauty,203.82,3/29/2024,11,44,Other,Chiang Mai,4564.49,Low
10090,54,Clothing,487.6,3/30/2024,5,35,Other,Phuket,4120.49,Low
10091,106,Electronics,363.72,3/31/2024,3,40,Other,Bangkok,3824.17,Low
10092,260,Clothing,331.92,4/1/2024,9,28,Female,Bangkok,338.95,Medium
10093,310,Electronics,380.96,4/2/2024,11,38,Other,Phuket,4234.27,Low
10094,477,Beauty,476.8,4/3/2024,14,61,Other,Pattaya,2246.42,Medium
10095,191,Beauty,454.83,4/4/2024,14,22,Male,Hat Yai,1777.74,Medium
10096,402,Sports,364.9,4/5/2024,9,40,Male,Pattaya,2777.73,Low
10097,218,Clothing,377.09,4/6/2024,4,58,Other,Chiang Mai,547.63,Medium
10098,44,Toys,81.5,4/7/2024,11,42,Other,Hat Yai,3807.57,Low
10099,162,Sports,60.37,4/8/2024,4,58,Male,Pattaya,2953.93,Low
10100,202,Clothing,289.74,4/9/2024,12,27,Other,Phuket,1014.29,Medium
10101,446,Sports,19,4/10/2024,8,39,Female,Chiang Mai,1022.34,Low
10102,484,Toys,246.35,4/11/2024,2,36,Female,Chiang Mai,1002.82,Medium
10103,270,Home & Kitchen,113.07,4/12/2024,9,18,Female,Chiang Mai,379.31,Low
10104,351,Home & Kitchen,179.55,4/13/2024,13,24,Other,Hat Yai,2980.21,High
10105,304,Home & Kitchen,390.14,4/14/2024,14,21,Male,Bangkok,4217.71,Low
10106,271,Home & Kitchen,471.21,4/15/2024,6,18,Other,Hat Yai,185.74,Low
10107,456,Electronics,45.48,4/16/2024,9,32,Other,Pattaya,340.12,Low
10108,462,Home & Kitchen,271.78,4/17/2024,8,57,Male,Bangkok,2906.57,Medium
10109,215,Toys,442.44,4/18/2024,7,29,Male,Pattaya,4115.53,Medium
10110,252,Beauty,50.43,4/19/2024,13,39,Male,Bangkok,1701.02,Low
10111,190,Beauty,414.01,4/20/2024,14,39,Female,Hat Yai,1813.11,Medium
10112,296,Electronics,185.32,4/21/2024,1,64,Other,Chiang Mai,3022.1,Low
10113,213,Home & Kitchen,167.83,4/22/2024,14,34,Male,Phuket,1443.64,Low
10114,208,Home & Kitchen,488.96,4/23/2024,12,46,Other,Chiang Mai,230.38,Medium
10115,237,Home & Kitchen,108.42,4/24/2024,3,63,Female,Hat Yai,3702.62,Medium
10116,338,Sports,349.67,4/25/2024,11,31,Female,Bangkok,3165.68,Medium
10117,367,Clothing,412.51,4/26/2024,14,37,Male,Chiang Mai,2945.7,Medium
10118,53,Sports,30.18,4/27/2024,2,50,Male,Hat Yai,3734.25,Low
10119,280,Clothing,338.49,4/28/2024,5,60,Other,Pattaya,3408.63,Medium
10120,410,Home & Kitchen,476.26,4/29/2024,5,32,Male,Phuket,1108.82,Low
10121,217,Home & Kitchen,70.87,4/30/2024,5,29,Other,Chiang Mai,1827.16,Low
10122,252,Sports,449.15,5/1/2024,4,57,Male,Bangkok,717.94,Low
10123,188,Sports,301.44,5/2/2024,5,37,Other,Pattaya,736.3,Low
10124,380,Clothing,312.14,5/3/2024,3,47,Other,Hat Yai,3413.36,Low
10125,493,Beauty,310.34,5/4/2024,12,55,Other,Phuket,4307.14,Low
10126,41,Clothing,156.43,5/5/2024,1,20,Other,Bangkok,4817.39,Low
10127,157,Sports,468.25,5/6/2024,5,45,Female,Hat Yai,3178.9,Low
10128,15,Toys,474.2,5/7/2024,13,43,Other,Hat Yai,1002.1,Low
10129,301,Sports,316.4,5/8/2024,9,47,Male,Chiang Mai,617.69,Low
10130,65,Toys,393.88,5/9/2024,13,30,Female,Chiang Mai,4082.97,Low
10131,345,Electronics,310.01,5/10/2024,9,30,Female,Bangkok,2935.91,Medium
10132,327,Sports,247.36,5/11/2024,4,19,Other,Hat Yai,3129.6,Medium
10133,9,Electronics,333.8,5/12/2024,3,54,Female,Chiang Mai,3929.16,Medium
10134,344,Beauty,280.97,5/13/2024,1,55,Other,Phuket,3546.06,Low
10135,129,Clothing,302.76,5/14/2024,2,19,Male,Phuket,4188.85,Medium
10136,492,Toys,394.08,5/15/2024,8,53,Other,Hat Yai,375.45,Low
10137,136,Clothing,245.64,5/16/2024,1,43,Female,Chiang Mai,3762.85,Low
10138,472,Electronics,29.97,5/17/2024,8,28,Male,Bangkok,4269.18,Low
10139,63,Toys,90.36,5/18/2024,13,25,Other,Bangkok,1502.06,Medium
10140,139,Clothing,224.92,5/19/2024,7,61,Male,Bangkok,3238.19,Low
10141,499,Sports,365.17,5/20/2024,8,57,Male,Phuket,1639.39,Low
10142,81,Home & Kitchen,300.71,5/21/2024,12,60,Female,Chiang Mai,4794.06,Low
10143,392,Electronics,328.64,5/22/2024,6,39,Male,Chiang Mai,263.78,Medium
10144,163,Clothing,244.85,5/23/2024,12,37,Female,Phuket,2940.98,Medium
10145,419,Electronics,311.71,5/24/2024,14,25,Male,Bangkok,915.87,Low
10146,289,Electronics,171.22,5/25/2024,9,46,Other,Bangkok,3589.88,Low
10147,379,Toys,240.39,5/26/2024,3,57,Male,Hat Yai,961.86,Low
10148,261,Toys,374.7,5/27/2024,10,43,Other,Pattaya,1253.38,Medium
10149,490,Home & Kitchen,437.2,5/28/2024,4,47,Other,Chiang Mai,2522.42,Low
10150,231,Sports,222.49,5/29/2024,13,34,Male,Chiang Mai,4582.69,Medium
10151,41,Electronics,31.39,5/30/2024,6,37,Other,Chiang Mai,1137.4,Low
10152,28,Clothing,89.22,5/31/2024,8,33,Male,Pattaya,806.78,Medium
10153,135,Beauty,20.22,6/1/2024,5,63,Male,Hat Yai,3818.99,Low
10154,201,Electronics,330.1,6/2/2024,3,60,Other,Pattaya,2553.04,Low
10155,328,Electronics,172.83,6/3/2024,6,24,Other,Bangkok,4567.75,Low
10156,268,Home & Kitchen,275.81,6/4/2024,4,33,Female,Bangkok,818.41,Low
10157,418,Sports,251.71,6/5/2024,9,62,Other,Chiang Mai,3265.05,Low
10158,33,Beauty,49.95,6/6/2024,13,64,Female,Phuket,1241.11,Medium
10159,48,Toys,207.6,6/7/2024,3,44,Other,Chiang Mai,868.13,Low
10160,407,Toys,118.07,6/8/2024,4,40,Male,Phuket,3448.8,Medium
10161,62,Clothing,215.02,6/9/2024,7,41,Other,Pattaya,3009.05,Medium
10162,216,Beauty,109.75,6/10/2024,7,26,Male,Bangkok,3798.65,Low
10163,293,Toys,421.82,6/11/2024,12,52,Male,Phuket,1616.37,Medium
10164,99,Clothing,95.35,6/12/2024,12,37,Male,Pattaya,2295.06,Medium
10165,172,Sports,480.78,6/13/2024,4,54,Female,Bangkok,2086.81,Low
10166,360,Clothing,213.79,6/14/2024,6,59,Other,Phuket,4922.04,Medium
10167,214,Toys,424.66,6/15/2024,12,34,Male,Chiang Mai,1532.02,Low
10168,475,Home & Kitchen,318.09,6/16/2024,13,64,Male,Chiang Mai,1544.6,Low
10169,35,Home & Kitchen,370.32,6/17/2024,3,48,Female,Chiang Mai,1837.29,Medium
10170,449,Home & Kitchen,386.18,6/18/2024,6,25,Other,Pattaya,2866.51,Low
10171,227,Toys,257.37,6/19/2024,12,32,Other,Chiang Mai,1336.38,Low
10172,101,Home & Kitchen,276.22,6/20/2024,2,48,Female,Hat Yai,4584.92,Low
10173,431,Beauty,261.86,6/21/2024,8,47,Female,Bangkok,1401.86,Medium
10174,462,Sports,298.15,6/22/2024,2,63,Other,Pattaya,4489.5,High
10175,131,Clothing,24.4,6/23/2024,11,37,Female,Chiang Mai,607.03,Low
10176,257,Clothing,203.8,6/24/2024,7,56,Other,Bangkok,3317.16,Medium
10177,5,Toys,307.03,6/25/2024,9,29,Other,Phuket,4544.23,High
10178,218,Home & Kitchen,302.88,6/26/2024,1,34,Male,Chiang Mai,926.87,Low
10179,255,Home & Kitchen,398.55,6/27/2024,8,59,Male,Bangkok,4844.8,Low
10180,398,Electronics,330.95,6/28/2024,7,47,Other,Hat Yai,2319.13,Medium
10181,359,Sports,496.15,6/29/2024,6,46,Other,Phuket,4734,Medium
10182,283,Beauty,149.09,6/30/2024,6,36,Other,Hat Yai,3416.42,Medium
10183,393,Clothing,185.98,7/1/2024,6,63,Other,Bangkok,1577.78,Low
10184,207,Electronics,198.09,7/2/2024,9,28,Other,Hat Yai,1022.68,Low
10185,15,Electronics,238.25,7/3/2024,2,51,Other,Bangkok,1588.3,Low
10186,346,Toys,419.64,7/4/2024,1,24,Female,Bangkok,555.79,Low
10187,42,Clothing,125.54,7/5/2024,13,61,Other,Hat Yai,804.95,Low
10188,380,Toys,390.24,7/6/2024,12,51,Female,Bangkok,612.84,Medium
10189,461,Beauty,208.6,7/7/2024,6,37,Female,Chiang Mai,2172.42,Low
10190,179,Electronics,304.91,7/8/2024,10,55,Other,Bangkok,3998.33,Medium
10191,63,Electronics,319.94,7/9/2024,11,41,Other,Pattaya,792.78,Low
10192,352,Sports,192.7,7/10/2024,8,27,Female,Bangkok,738.57,Low
10193,231,Beauty,261.18,7/11/2024,3,49,Female,Pattaya,3252.8,Low
10194,241,Electronics,212.39,7/12/2024,12,32,Other,Bangkok,1066.2,Low
10195,52,Beauty,43.88,7/13/2024,10,54,Other,Bangkok,578.29,Low
10196,96,Clothing,224.21,7/14/2024,1,37,Female,Hat Yai,917.56,High
10197,388,Home & Kitchen,57.72,7/15/2024,9,20,Female,Chiang Mai,4626.28,Medium
10198,222,Electronics,208.46,7/16/2024,13,54,Female,Chiang Mai,4125.21,Low
10199,485,Sports,300.53,7/17/2024,13,57,Male,Phuket,1834.92,Low
10200,407,Clothing,293.91,7/18/2024,1,25,Female,Hat Yai,3313.52,High
10201,231,Beauty,334.68,7/19/2024,3,57,Male,Hat Yai,2732.65,Low
10202,237,Toys,56.68,7/20/2024,8,61,Other,Chiang Mai,3417.91,Low
10203,143,Clothing,329.54,7/21/2024,14,40,Other,Hat Yai,3445.09,Low
10204,171,Electronics,162.95,7/22/2024,3,57,Female,Chiang Mai,3180.8,High
10205,29,Beauty,205.53,7/23/2024,13,28,Other,Hat Yai,1403.9,Low
10206,36,Home & Kitchen,430.41,7/24/2024,4,63,Other,Bangkok,291.13,Low
10207,13,Clothing,14.42,7/25/2024,8,25,Other,Chiang Mai,2332.28,High
10208,160,Electronics,298.32,7/26/2024,1,46,Other,Chiang Mai,4465.77,Low
10209,327,Sports,303.37,7/27/2024,13,47,Male,Pattaya,2890.54,Low
10210,187,Toys,204.36,7/28/2024,13,27,Male,Hat Yai,4178.72,Low
10211,243,Beauty,126.14,7/29/2024,6,56,Female,Hat Yai,4958.96,Medium
10212,86,Clothing,124.99,7/30/2024,1,45,Female,Chiang Mai,901.72,Low
10213,284,Clothing,443.02,7/31/2024,14,53,Female,Bangkok,3489.71,High
10214,66,Home & Kitchen,226.59,8/1/2024,1,30,Other,Bangkok,3404.04,Medium
10215,170,Home & Kitchen,172.14,8/2/2024,14,49,Other,Bangkok,4901.78,Low
10216,45,Sports,229.9,8/3/2024,8,53,Male,Hat Yai,4929.44,High
10217,62,Toys,338,8/4/2024,11,54,Male,Pattaya,3464.73,Low
10218,441,Sports,81.42,8/5/2024,4,43,Female,Chiang Mai,1293.71,Low
10219,134,Electronics,230.22,8/6/2024,12,39,Male,Phuket,4012.92,Low
10220,284,Electronics,298.06,8/7/2024,1,21,Male,Pattaya,624.44,Low
10221,28,Sports,474.81,8/8/2024,10,48,Male,Phuket,3925.43,Low
10222,108,Toys,133.74,8/9/2024,7,35,Male,Pattaya,4559.96,Low
10223,44,Sports,186.03,8/10/2024,5,55,Male,Bangkok,1975.88,Low
10224,340,Toys,195.89,8/11/2024,5,41,Female,Hat Yai,3190.11,Medium
10225,286,Toys,306.71,8/12/2024,1,40,Female,Phuket,2207.7,Low
10226,446,Beauty,184.8,8/13/2024,14,39,Male,Pattaya,2245.05,High
10227,331,Toys,271.42,8/14/2024,10,19,Female,Hat Yai,1620.82,Low
10228,128,Home & Kitchen,393.08,8/15/2024,11,48,Other,Phuket,3834.44,Low
10229,348,Toys,355.64,8/16/2024,6,28,Male,Chiang Mai,4687.27,Low
10230,473,Toys,228.72,8/17/2024,14,45,Other,Pattaya,4709.68,Low
10231,231,Toys,433.47,8/18/2024,9,63,Female,Chiang Mai,956.43,Low
10232,190,Electronics,283.49,8/19/2024,9,49,Female,Bangkok,4386.24,Medium
10233,225,Home & Kitchen,274.55,8/20/2024,8,22,Other,Chiang Mai,3713.41,High
10234,385,Home & Kitchen,26.75,8/21/2024,5,55,Female,Chiang Mai,1338.9,High
10235,377,Sports,493.48,8/22/2024,1,27,Male,Pattaya,429.69,Low
10236,283,Beauty,70.26,8/23/2024,9,57,Other,Bangkok,1413.19,Medium
10237,446,Toys,123.25,8/24/2024,1,63,Male,Chiang Mai,4569.82,Low
10238,121,Clothing,35.33,8/25/2024,8,41,Other,Hat Yai,3202.58,Low
10239,116,Beauty,323.6,8/26/2024,5,52,Female,Phuket,3633.17,Medium
10240,461,Beauty,120.1,8/27/2024,3,61,Other,Chiang Mai,1360.05,Medium
10241,233,Home & Kitchen,98.21,8/28/2024,11,40,Other,Bangkok,3625,Low
10242,259,Beauty,53.39,8/29/2024,7,34,Male,Chiang Mai,237.8,Low
10243,359,Toys,60.62,8/30/2024,7,18,Female,Phuket,1939.07,Low
10244,198,Toys,296.49,8/31/2024,9,48,Male,Bangkok,3171.09,Medium
10245,456,Electronics,347.22,9/1/2024,7,48,Female,Pattaya,815.87,Low
10246,411,Toys,204.72,9/2/2024,13,59,Male,Bangkok,4132.72,High
10247,137,Toys,245.15,9/3/2024,11,59,Other,Pattaya,1251.65,Low
10248,318,Home & Kitchen,346.12,9/4/2024,14,51,Male,Bangkok,3296.18,Low
10249,165,Toys,18.52,9/5/2024,3,26,Female,Phuket,2085.47,Low
10250,225,Electronics,168.33,9/6/2024,11,39,Female,Phuket,3020.61,Low
10251,307,Clothing,486.82,9/7/2024,13,30,Other,Bangkok,626.51,Low
10252,234,Home & Kitchen,294.25,9/8/2024,14,42,Female,Chiang Mai,182.87,Medium
10253,172,Clothing,134.57,9/9/2024,13,35,Male,Phuket,4556.87,Medium
10254,152,Home & Kitchen,265.65,9/10/2024,1,29,Other,Pattaya,1421.19,High
10255,463,Sports,177.9,9/11/2024,8,57,Female,Pattaya,4116.42,Medium
10256,315,Beauty,270.8,9/12/2024,12,34,Female,Hat Yai,4996.82,Medium
10257,374,Sports,71.61,9/13/2024,3,32,Male,Pattaya,1136.01,Low
10258,160,Toys,75.03,9/14/2024,12,59,Male,Hat Yai,1399.34,Medium
10259,96,Clothing,80.34,9/15/2024,8,32,Other,Bangkok,3348.01,Low
10260,472,Toys,470.51,9/16/2024,8,32,Female,Bangkok,4830.7,Low
10261,233,Beauty,369.12,9/17/2024,13,56,Male,Bangkok,4587.49,Low
10262,180,Home & Kitchen,89.57,9/18/2024,5,30,Other,Chiang Mai,2564.09,Low
10263,113,Beauty,102.29,9/19/2024,13,34,Female,Chiang Mai,3996.04,Low
10264,318,Electronics,368.11,9/20/2024,12,49,Female,Hat Yai,765.15,High
10265,497,Beauty,86.52,9/21/2024,13,26,Other,Pattaya,4889.45,Low
10266,442,Electronics,124.94,9/22/2024,1,57,Other,Pattaya,4825.33,Low
10267,52,Beauty,482.04,9/23/2024,13,37,Male,Bangkok,902.27,Low
10268,268,Electronics,135.1,9/24/2024,10,43,Female,Phuket,1567.17,Low
10269,295,Clothing,334.2,9/25/2024,7,44,Female,Chiang Mai,590.76,Low
10270,386,Toys,489.53,9/26/2024,12,38,Female,Chiang Mai,1431.42,Low
10271,387,Toys,193.41,9/27/2024,10,35,Other,Bangkok,4098.18,Low
10272,113,Sports,18.58,9/28/2024,5,30,Male,Chiang Mai,1953.75,Low
10273,101,Toys,129.63,9/29/2024,8,33,Female,Bangkok,533.15,Medium
10274,113,Home & Kitchen,417.13,9/30/2024,9,26,Other,Hat Yai,1776.91,Medium
10275,440,Beauty,433.66,10/1/2024,11,29,Female,Pattaya,4908.78,Low
10276,81,Sports,386.57,10/2/2024,14,61,Male,Phuket,3185.45,Low
10277,187,Home & Kitchen,65.42,10/3/2024,7,55,Female,Pattaya,2139.19,Low
10278,113,Home & Kitchen,399.8,10/4/2024,14,36,Male,Pattaya,916.04,Medium
10279,2,Electronics,460.15,10/5/2024,13,24,Male,Hat Yai,4932.27,Low
10280,130,Toys,304.3,10/6/2024,7,52,Female,Chiang Mai,4122.16,Low
10281,220,Clothing,471.03,10/7/2024,1,35,Female,Phuket,1479.24,Medium
10282,54,Clothing,415.15,10/8/2024,4,33,Male,Chiang Mai,443.34,Low
10283,343,Sports,336.82,10/9/2024,2,56,Other,Pattaya,377.47,Low
10284,485,Clothing,292.82,10/10/2024,2,21,Male,Bangkok,689.85,Low
10285,224,Beauty,180.8,10/11/2024,2,42,Female,Pattaya,2945.77,High
10286,225,Clothing,88.05,10/12/2024,4,49,Female,Chiang Mai,4650.94,Medium
10287,385,Sports,306.43,10/13/2024,14,57,Other,Pattaya,2534.04,Medium
10288,403,Clothing,165.87,10/14/2024,1,30,Male,Bangkok,4230.43,Low
10289,126,Beauty,434.55,10/15/2024,4,62,Male,Hat Yai,2284.84,Low
10290,130,Electronics,496.74,10/16/2024,2,34,Male,Chiang Mai,3572.06,High
10291,53,Sports,378.69,10/17/2024,5,54,Female,Pattaya,3686.18,High
10292,172,Electronics,54.34,10/18/2024,3,23,Male,Chiang Mai,952.42,Low
10293,218,Electronics,151.46,10/19/2024,12,36,Other,Hat Yai,1869.96,Medium
10294,160,Electronics,63.46,10/20/2024,8,30,Female,Pattaya,3222.78,Low
10295,198,Home & Kitchen,328.75,10/21/2024,4,43,Female,Pattaya,446.41,Low
10296,416,Toys,384.94,10/22/2024,1,31,Male,Chiang Mai,1871.55,Medium
10297,247,Home & Kitchen,463.58,10/23/2024,1,48,Other,Chiang Mai,2720.52,Low
10298,324,Toys,224.7,10/24/2024,12,21,Female,Bangkok,4981.5,High
10299,439,Electronics,451.67,10/25/2024,10,56,Female,Hat Yai,2425.21,Low
10300,203,Sports,440.17,10/26/2024,3,25,Male,Bangkok,4098.68,Low
10301,184,Toys,165.43,10/27/2024,9,42,Male,Pattaya,2217.13,High
10302,123,Beauty,435.76,10/28/2024,7,30,Other,Chiang Mai,4002.31,High
10303,401,Beauty,194.08,10/29/2024,2,49,Male,Pattaya,3017.53,Low
10304,255,Clothing,155.47,10/30/2024,13,55,Other,Pattaya,4444.32,Low
10305,294,Toys,328.05,10/31/2024,9,55,Female,Phuket,2113.62,Medium
10306,280,Sports,170.91,11/1/2024,10,45,Other,Phuket,3061.09,Low
10307,325,Home & Kitchen,318.8,11/2/2024,2,47,Other,Pattaya,3187.09,High
10308,372,Electronics,308.82,11/3/2024,3,20,Other,Chiang Mai,2145.18,High
10309,98,Clothing,286.09,11/4/2024,11,45,Female,Pattaya,807.13,Low
10310,198,Beauty,196.41,11/5/2024,13,20,Male,Phuket,558.44,Low
10311,470,Home & Kitchen,278.76,11/6/2024,10,62,Female,Chiang Mai,181.69,Low
10312,395,Home & Kitchen,302.28,11/7/2024,14,51,Male,Pattaya,4380.32,High
10313,240,Electronics,277.39,11/8/2024,2,33,Other,Hat Yai,1258.73,Low
10314,144,Toys,227.77,11/9/2024,3,39,Other,Hat Yai,1136.38,Low
10315,97,Beauty,17.19,11/10/2024,6,49,Other,Pattaya,3706.57,Low
10316,201,Sports,297.66,11/11/2024,9,55,Other,Chiang Mai,1668.08,Low
10317,124,Home & Kitchen,92.54,11/12/2024,9,25,Other,Pattaya,2579.62,Low
10318,187,Electronics,324.86,11/13/2024,7,25,Male,Pattaya,896.3,Low
10319,326,Sports,382.08,11/14/2024,12,23,Male,Phuket,4802.75,High
10320,464,Toys,255.22,11/15/2024,3,31,Other,Hat Yai,4272.75,High
10321,349,Beauty,275.76,11/16/2024,4,49,Female,Phuket,4332.57,Medium
10322,259,Toys,476.22,11/17/2024,6,52,Female,Phuket,2093.19,Low
10323,148,Home & Kitchen,425.11,11/18/2024,11,27,Other,Pattaya,3835.57,Low
